source,target,reaction,cell_type
SMAD2_p,SMAD4_p,R1,NonClassicalMonocyte
JUN_p,SMAD4_p,R2,NonClassicalMonocyte
NFKB1,RELA_p,R3,NonClassicalMonocyte
STAT3_p,SP1_p,R4,NonClassicalMonocyte
NR3C1_p,STAT5A_p,R5,NonClassicalMonocyte
STAT3_p,STAT1_p,R6,NonClassicalMonocyte
JUN_p,FOS_p,R8,NonClassicalMonocyte
TGFBR1,SMAD2,R9,NonClassicalMonocyte
TGFBR1,SMAD2,R10,NonClassicalMonocyte
EP300,MAPK1_p,R11,NonClassicalMonocyte
EP300,MAPK1_p,R12,NonClassicalMonocyte
HIF1A,MAPK1_p,R13,NonClassicalMonocyte
HIF1A,MAPK1_p,R14,NonClassicalMonocyte
NR3C1,MAPK1_p,R15,NonClassicalMonocyte
NR3C1,MAPK1_p,R16,NonClassicalMonocyte
RPS6KA3,MAPK1_p,R17,NonClassicalMonocyte
RPS6KA3,MAPK1_p,R18,NonClassicalMonocyte
PRDX6,MAPK1_p,R19,NonClassicalMonocyte
PRDX6,MAPK1_p,R20,NonClassicalMonocyte
FYN_p,STK11,R21,NonClassicalMonocyte
FYN_p,STK11,R22,NonClassicalMonocyte
CTNNB1,PRKCA_p,R23,NonClassicalMonocyte
CTNNB1,PRKCA_p,R24,NonClassicalMonocyte
JAK2_p,STAT5A,R25,NonClassicalMonocyte
JAK2_p,STAT5A,R26,NonClassicalMonocyte
AKT1_p,MDM2,R27,NonClassicalMonocyte
AKT1_p,MDM2,R28,NonClassicalMonocyte
RPS6KB1,MAPK1_p,R29,NonClassicalMonocyte
RPS6KB1,MAPK1_p,R30,NonClassicalMonocyte
PRKAA1,AKT1_p,R31,NonClassicalMonocyte
PRKAA1,AKT1_p,R32,NonClassicalMonocyte
IKBKB,IKBKB_p,R33,NonClassicalMonocyte
IKBKB,IKBKB_p,R34,NonClassicalMonocyte
PRKCA_p,VIM,R35,NonClassicalMonocyte
PRKCA_p,VIM,R36,NonClassicalMonocyte
JAK2_p,JAK2,R37,NonClassicalMonocyte
JAK2_p,JAK2,R38,NonClassicalMonocyte
CDKN1B,MAPK1_p,R39,NonClassicalMonocyte
CDKN1B,MAPK1_p,R40,NonClassicalMonocyte
SMAD4,MAPK1_p,R41,NonClassicalMonocyte
SMAD4,MAPK1_p,R42,NonClassicalMonocyte
PTPN6,PRKCA_p,R43,NonClassicalMonocyte
PTPN6,PRKCA_p,R44,NonClassicalMonocyte
ROCK1,DNM1L,R45,NonClassicalMonocyte
ROCK1,DNM1L,R46,NonClassicalMonocyte
STK11,MAPK1_p,R47,NonClassicalMonocyte
STK11,MAPK1_p,R48,NonClassicalMonocyte
PDPK1_p,RPS6KB1,R49,NonClassicalMonocyte
PDPK1_p,RPS6KB1,R50,NonClassicalMonocyte
JUN,MAPK1_p,R51,NonClassicalMonocyte
JUN,MAPK1_p,R52,NonClassicalMonocyte
NCF1,PRKCA_p,R53,NonClassicalMonocyte
NCF1,PRKCA_p,R54,NonClassicalMonocyte
PDPK1_p,IKBKB,R55,NonClassicalMonocyte
PDPK1_p,IKBKB,R56,NonClassicalMonocyte
NR4A1,AKT1_p,R57,NonClassicalMonocyte
NR4A1,AKT1_p,R58,NonClassicalMonocyte
JAK2_p,MAP3K5,R59,NonClassicalMonocyte
JAK2_p,MAP3K5,R60,NonClassicalMonocyte
FOS,MAPK1_p,R61,NonClassicalMonocyte
FOS,MAPK1_p,R62,NonClassicalMonocyte
STK11_p,STK11,R63,NonClassicalMonocyte
STK11_p,STK11,R64,NonClassicalMonocyte
FYN_p,PTPN6,R65,NonClassicalMonocyte
FYN_p,PTPN6,R66,NonClassicalMonocyte
TP53,MAPK9_p,R67,NonClassicalMonocyte
TP53,MAPK9_p,R68,NonClassicalMonocyte
SMAD2,MAPK1_p,R69,NonClassicalMonocyte
SMAD2,MAPK1_p,R70,NonClassicalMonocyte
JUN,MAPK9_p,R71,NonClassicalMonocyte
JUN,MAPK9_p,R72,NonClassicalMonocyte
INSR_p,INSR,R73,NonClassicalMonocyte
INSR_p,INSR,R74,NonClassicalMonocyte
BAD,AKT1_p,R75,NonClassicalMonocyte
BAD,AKT1_p,R76,NonClassicalMonocyte
NCF1,MAPK1_p,R77,NonClassicalMonocyte
NCF1,MAPK1_p,R78,NonClassicalMonocyte
STAT1,JAK1_p,R81,NonClassicalMonocyte
STAT1,JAK1_p,R82,NonClassicalMonocyte
DUSP1,MAPK1_p,R83,NonClassicalMonocyte
DUSP1,MAPK1_p,R84,NonClassicalMonocyte
HSPB1,AKT1_p,R85,NonClassicalMonocyte
HSPB1,AKT1_p,R86,NonClassicalMonocyte
NCF1,AKT1_p,R87,NonClassicalMonocyte
NCF1,AKT1_p,R88,NonClassicalMonocyte
PKN1,PKN1_p,R89,NonClassicalMonocyte
PKN1,PKN1_p,R90,NonClassicalMonocyte
